,Date,JNJ,MCD,KO,PFE,SBUX
72,2016-01-01,92.505219,110.053276,37.015194,25.791739,55.814987
73,2016-02-01,93.187225,104.194092,37.196304,25.098098999999998,53.46371800000001
74,2016-03-01,96.530067,112.58911100000002,40.007797,25.324789000000003,55.011425
75,2016-04-01,99.9916,113.31473500000001,38.937859,27.947832000000002,51.813946
76,2016-05-01,100.53580500000001,109.34616899999999,38.76403,29.648117,50.579184999999995
77,2016-06-01,108.98983,107.805328,39.398518,30.353277000000002,52.818214000000005
78,2016-07-01,112.520973,106.17021899999999,38.211760999999996,31.801544,53.678169
79,2016-08-01,107.228706,104.374413,38.036602,29.999828000000004,51.995243
80,2016-09-01,106.849602,104.912727,37.064442,29.440817,50.236988000000004
81,2016-10-01,104.913948,102.375381,37.437908,27.563284000000003,49.244129
82,2016-11-01,100.67182199999999,108.46862,35.627808,27.937052,53.790881999999996
83,2016-12-01,104.92854299999999,111.557556,37.398228,27.829407,51.756142
84,2017-01-01,103.14347099999999,112.336578,37.015347,27.855742,51.476482
85,2017-02-01,111.30386399999999,116.992455,37.36261,29.953915000000002,53.014618000000006
86,2017-03-01,114.18563799999998,119.663155,37.790012,30.338907,54.676838000000004
87,2017-04-01,113.19551100000001,129.191147,38.761356,30.081716999999998,56.240657999999996
88,2017-05-01,117.577744,139.31002800000002,40.84539,28.955429,59.564899
89,2017-06-01,122.085823,141.405838,40.288447999999995,30.077398,54.826859
90,2017-07-01,122.482674,144.13176,41.516636,29.692369,50.755501
91,2017-08-01,122.15963700000002,148.619034,41.25399,30.372887,51.582939
92,2017-09-01,120.74491100000002,146.426086,40.764915,32.279007,50.72961
93,2017-10-01,129.47503700000001,155.986572,41.974789,31.700328999999996,51.796913
94,2017-11-01,129.400757,160.715454,41.783085,32.785339,54.611546
95,2017-12-01,130.557571,161.81454499999998,42.226883,33.048428,54.530547999999996
96,2018-01-01,129.12793,160.89325,43.800732,33.796623,53.941849
97,2018-02-01,121.36286899999999,148.295547,39.778679,33.130547,54.217209
98,2018-03-01,120.513107,147.94703700000002,39.971962,32.682342999999996,55.265461
99,2018-04-01,118.95201899999999,158.410645,40.120548,33.713745,54.959972
100,2018-05-01,112.491432,151.381317,39.92556,33.087540000000004,54.100773
101,2018-06-01,114.95523100000001,148.24035600000002,40.724072,33.735985,46.879169
102,2018-07-01,125.546967,149.991241,43.681622,37.130035,50.276352
103,2018-08-01,127.602768,154.456528,41.751865,38.608551,51.293583
104,2018-09-01,131.772003,160.268356,43.26944,41.328674,54.926567000000006
105,2018-10-01,133.507721,169.475006,45.234097,40.381504,56.30843
106,2018-11-01,140.097733,180.597702,47.614838,43.354313,64.47397600000001
107,2018-12-01,123.85805500000001,171.166,45.087115999999995,41.250687,62.566204000000006
108,2019-01-01,127.72592900000001,172.332367,45.829834000000005,40.116646,66.19970699999999
109,2019-02-01,131.142685,177.209885,43.173176,41.324965999999996,68.259346
110,2019-03-01,135.055756,184.21676599999998,44.620537,40.486073,72.60009000000001
111,2019-04-01,136.418015,191.65721100000002,47.123215,38.712959000000005,75.861923
112,2019-05-01,126.70839699999999,192.33625800000002,47.190449,39.580452,74.279823
113,2019-06-01,135.483795,202.62493899999998,48.909779,41.662628000000005,82.247772
114,2019-07-01,126.670731,205.610748,50.946903000000006,37.354031,92.902794
115,2019-08-01,124.86142,212.684952,53.279835,34.189899,94.737495
116,2019-09-01,126.79668400000001,210.611786,52.69902,34.878646999999994,87.079948
117,2019-10-01,129.403564,192.945541,53.074566000000004,37.24725,83.27845
118,2019-11-01,134.744766,190.767914,52.070221000000004,37.39286,84.135269
119,2019-12-01,143.947876,195.080414,54.374809,38.401119,87.020363
