Date,CVX,XOM,CL,PG,PEP
2016-06-01,89.037712,78.650192,66.622551,75.004372,93.414063
2016-07-01,87.041733,74.631264,67.74202,75.819366,96.761909
2016-08-01,85.427963,73.112617,68.015877,77.948631,94.83414499999999
2016-09-01,88.336525,73.854568,67.83287800000001,80.127022,97.312119
2016-10-01,89.907211,70.50367,65.289383,77.493324,95.907524
2016-11-01,95.752243,73.871475,60.007263,74.186615,89.555428
2016-12-01,102.03357700000001,77.05246700000001,60.200451,75.64407299999999,94.300735
2017-01-01,96.528801,71.614571,59.409313,78.810913,93.534645
2017-02-01,97.525711,69.42063900000001,67.524826,82.581604,99.483078
2017-03-01,93.969482,70.649849,67.719139,81.47532700000001,100.816986
2017-04-01,93.38310200000001,70.339722,66.65509,79.19019300000001,102.79806500000001
2017-05-01,90.564995,69.34903,71.03421800000001,80.490646,106.055885
2017-06-01,92.237732,70.203911,68.959755,79.63176,105.52338400000001
2017-07-01,96.534447,69.603882,67.16436800000001,82.985153,106.546745
2017-08-01,95.1464,66.377617,67.014549,84.97112299999999,105.74268300000001
2017-09-01,104.925018,71.981941,68.146408,83.783165,102.52624499999999
2017-10-01,103.487312,73.18486,65.901382,79.51018499999999,101.422127
2017-11-01,106.255554,73.13217900000001,68.144936,83.492111,107.20954099999999
2017-12-01,112.83852399999999,74.119148,70.96666,85.245621,111.103325
2018-01-01,112.98275,77.36254100000001,69.828568,80.105644,111.45540600000001
2018-02-01,100.877747,67.11842299999999,65.208275,73.405357,101.662521
2018-03-01,103.811829,66.793144,67.770462,74.11586,101.12516
2018-04-01,113.88896899999999,69.60417199999999,61.672256000000004,67.627922,94.209908
2018-05-01,113.151627,72.728516,59.998577000000004,69.03701,93.56591
2018-06-01,116.094177,74.813118,61.634296,73.65080999999999,102.54570799999999
2018-07-01,115.94725,73.709869,63.726498,76.31150799999999,108.31961799999999
2018-08-01,108.775726,72.498085,63.562732999999994,78.975082,105.50331100000001
2018-09-01,113.35994699999999,77.676987,64.07958199999999,79.24168399999999,105.305504
2018-10-01,103.505386,72.79819499999999,56.99684499999999,84.430511,106.72737099999999
2018-11-01,110.26358799999998,72.63374300000001,61.201111,90.776466,115.80651100000001
2018-12-01,101.839668,62.932120999999995,57.347137,88.288788,104.92293500000001
2019-01-01,107.32527900000001,67.629639,62.318764,92.659035,107.852425
2019-02-01,111.940331,72.936279,63.893799,95.405746,110.695419
2019-03-01,116.469475,75.39769,66.483688,100.73026999999999,118.26123
2019-04-01,113.51943200000001,74.912453,70.606186,103.082748,123.568748
2019-05-01,107.64774299999999,66.038292,67.95452900000001,100.329865,123.5205
2019-06-01,118.818474,72.326134,69.95548199999999,106.900871,126.54097
2019-07-01,117.548546,70.183624,70.023811,115.08052099999999,124.240173
2019-08-01,112.40203899999999,64.633873,72.79633299999999,117.974602,132.911026
2019-09-01,114.406403,67.472893,72.168015,122.04675300000001,133.270691
2019-10-01,112.03338600000001,64.567955,67.347649,122.17431599999999,134.260178
2019-11-01,112.988373,65.103073,67.003723,120.535347,132.948608
2019-12-01,117.394318,67.483917,68.011444,123.339874,133.770782
