Date,AAL,BAC,DAL,S&P500,WFC
2019-03-01,31.339823,26.755503000000004,50.28907,2834.399902,45.457451
2019-04-01,33.727802000000004,29.655066,56.754112,2945.830078,45.542122
2019-05-01,26.869755,25.795446,50.143024,2752.060059,41.741455
2019-06-01,32.271446000000005,28.122856,55.588467,2941.76001,44.947037
2019-07-01,30.193247,29.912806,59.790661,2980.379883,45.98238
2019-08-01,26.036852,26.822077,57.03965,2926.459961,44.23464600000001
2019-09-01,26.78388,28.440565000000007,56.783333,2976.73999,48.44997
2019-10-01,29.852554,30.688997,54.299065,3037.560059,49.593021
2019-11-01,28.541664,32.700905,56.917168,3140.97998,52.311367
2019-12-01,28.574404,34.565609,58.079147,3230.780029,52.171978
