Date,T,WMT,TMUS,COST,NFLX_x,NFLX_y,DIS
2014-11-01,26.121086,75.748024,28.647178999999998,124.41776999999999,49.512856,49.512856,85.138458
2014-12-01,24.79952,74.31163000000001,26.439020000000003,124.41608400000001,48.801429999999996,48.801429999999996,86.684593
2015-01-01,24.304863,73.94368,29.618769,125.50451699999999,63.114284999999995,63.114284999999995,84.77594
2015-02-01,25.877657,73.030052,32.415768,128.98898300000002,67.844284,67.844284,97.003952
2015-03-01,24.447504000000002,71.568214,31.100687,137.709122,59.527142000000005,59.527142000000005,97.758888
2015-04-01,25.937561,68.32159399999999,33.406985999999996,130.02830500000002,79.5,79.5,101.328491
2015-05-01,26.23452,65.012718,38.156982,129.964737,89.15142800000001,89.15142800000001,102.866318
2015-06-01,26.978873999999998,62.480904,38.049026,123.101463,93.84857199999999,93.84857199999999,106.38001299999999
2015-07-01,26.386435,63.40584200000001,39.903881,132.434784,114.309998,114.309998,111.841606
2015-08-01,25.7372,57.019431999999995,38.873405,127.649628,115.029999,115.029999,95.505775
2015-09-01,25.075295999999998,57.50634399999999,39.069687,132.131714,103.260002,103.260002,95.805756
2015-10-01,25.791076999999998,50.765938,37.185390000000005,144.515884,108.379997,108.379997,106.623749
2015-11-01,26.285101,52.184975,34.839836,147.531982,123.33000200000001,123.33000200000001,106.370651
2015-12-01,26.862793,54.366733999999994,39.119999,147.986633,114.379997,114.379997,98.505562
2016-01-01,28.150903999999997,59.347401,40.150002,138.475143,91.839996,91.839996,90.400734
2016-02-01,29.251614,59.329506,37.099998,137.476395,93.410004,93.410004,90.11769100000001
2016-03-01,31.009078999999996,61.252311999999996,38.299999,144.786102,102.230003,102.230003,93.693352
2016-04-01,30.732003999999996,60.246235,39.279999,136.10333300000002,90.029999,90.029999,97.419945
2016-05-01,31.377563000000002,63.768936,42.759997999999996,137.095642,102.57,102.57,93.608437
2016-06-01,34.631527,66.268715,43.27,144.71669,91.480003,91.480003,92.28761300000001
