Date,JNJ,KO,MCD,PFE,SBUX
2016-05-01,100.53580500000001,38.76403,109.34616899999999,29.648117,50.579184999999995
2016-06-01,108.98983,39.398518,107.805328,30.353277000000002,52.818214000000005
2016-07-01,112.520973,38.211760999999996,106.17021899999999,31.801544,53.678169
2016-08-01,107.228706,38.036602,104.374413,29.999828000000004,51.995243
2016-09-01,106.849602,37.064442,104.912727,29.440817,50.236988000000004
2016-10-01,104.913948,37.437908,102.375381,27.563284000000003,49.244129
2016-11-01,100.67182199999999,35.627808,108.46862,27.937052,53.790881999999996
2016-12-01,104.92854299999999,37.398228,111.557556,27.829407,51.756142
2017-01-01,103.14347099999999,37.015347,112.336578,27.855742,51.476482
2017-02-01,111.30386399999999,37.36261,116.992455,29.953915000000002,53.014618000000006
2017-03-01,114.18563799999998,37.790012,119.663155,30.338907,54.676838000000004
