Date,AAL,BAC,DAL,S&P500,WFC,JNJ,KO,MCD,PFE,SBUX,T,WMT,TMUS,COST,NFLX,DIS,CVX,XOM,CL,PG,PEP
2012-09-01,9.861077,7.911266,8.136841,1440.670044,26.948809000000004,55.488491,29.474194,72.52873199999998,18.845997,22.261461,24.82358,60.807312,19.043728,80.089363,7.777143,46.808563,85.7687,68.580696,44.126881,54.554367000000006,56.059341
2012-10-01,11.48259,8.360735,8.554342,1412.160034,26.293226,57.026478,29.087784000000006,68.61573800000001,18.861168,20.149893,22.775799,61.81251500000001,16.604309,78.706024,11.32,43.979282,81.118256,68.37075,43.196762,54.459988,55.257561
2012-11-01,12.151938000000001,8.845158999999997,8.883011999999997,1416.180054,25.762531,56.148754,29.666714,68.80545,18.974926,22.770693,22.733809,59.340683,17.31987,83.095901,11.672857,44.462772,77.770218,66.09848000000001,45.159889,55.375057,56.031654
2012-12-01,12.72701,10.415036,10.544133,1426.189941,26.847755,56.945854,28.554783,70.356476,19.19129,23.641289,22.454048,56.21791500000001,16.165213,79.17343100000002,13.227143,44.579163,80.259109,65.312469,43.511673,53.836651,54.61111500000001
2013-01-01,13.462348,10.165142999999999,12.338503999999999,1498.109985,27.35832000000001,60.049053,29.334631,76.00350999999998,20.874741,24.738932,23.173435,57.95454399999999,16.311577,87.874092,23.605715,48.981926,85.4618,67.893272,44.689564,59.601742,58.588894
2013-02-01,12.661017,10.084324,12.676061,1514.680054,27.751396000000003,61.828121,30.500444,76.490059,21.12665,24.179094,24.227526,58.642197,15.937534,86.972527,26.868572,49.62738,86.946129,67.576302,48.176094,60.900383,60.937279
2013-03-01,15.998323000000001,10.947242,14.665854000000001,1569.189941,29.262369,66.760826,31.855322,80.154404,22.276775,25.199162,24.753767,61.997692,17.72644,91.354401,27.040001,51.636471,88.87215400000002,68.433327,49.691723,61.603874,64.078468
2013-04-01,15.932332,11.064084,15.225487,1597.569946,30.045546,69.790573,33.585484,82.124298,22.438864,26.920406,25.273268,64.80751,19.255144,93.351776,30.867144,57.127399,91.258102,67.582764,50.272701,61.372047,66.800049
2013-05-01,16.563971,12.27745,15.998306,1630.73999,32.078648,68.930763,31.728886,77.645821,21.018591,27.938107,23.88958,62.406002,17.425579,94.384903,32.32143,57.345581,91.811623,68.70671800000001,49.267448,61.814522,65.423058
2013-06-01,15.479814999999999,11.55842,16.620117,1606.280029,32.905308000000005,70.834946,31.824089,80.223259,21.8009,29.084536,24.169514000000003,62.486687,24.348629000000006,95.459854,30.155714,57.409218,89.22692099999998,69.090248,48.798965,61.999725,66.249268
2013-07-01,18.242046,13.132139000000002,18.858636999999998,1685.72998,34.683323,77.137962,32.020092,79.47776800000003,22.750458,31.65069,24.080751,65.380791,23.661648,101.373741,34.925713,58.772854,94.919533,71.69023100000003,50.996578,64.665283,68.14089200000001
2013-08-01,15.234701999999999,12.700397,17.526188,1632.969971,32.753811,71.288689,30.502163,76.463295,22.135616,31.308825,23.391365,61.220032,22.915779,96.582207,40.558571,55.300121,90.802788,66.650887,49.494007,63.19395400000001,65.033203
2013-09-01,17.874376,12.412571,21.015125,1681.550049,33.171177,72.05854000000002,30.262487,78.59227800000002,22.543648,34.26973,23.384447,62.418869,25.487057,99.689819,44.172855,58.62739200000001,92.366318,66.24916800000001,50.804829,61.327908,64.845589
2013-10-01,20.712025,12.574306,23.500601,1756.540039,34.271,76.979393,31.842548,78.84552,24.081604,36.086292,25.030071,64.773483,27.214327,102.139442,46.068573,62.354687,91.19561,69.00572199999999,55.456947,65.514351,69.078766
2013-11-01,22.135571,14.239474,25.816809,1805.810059,35.338707,78.68338,32.34148,79.539856,24.897665,36.268841,24.672091,68.368736,25.526314000000006,108.570755,52.257141,64.127411,93.08094,71.977837,56.686165,68.863403,69.382698
2013-12-01,23.80422,14.014454,24.52673900000001,1848.359985,36.704861,76.66301700000002,33.475636,79.921341,24.2206,35.01437,24.63706,66.410774,33.014423,103.283821,52.59571500000001,69.454697,95.756035,78.452309,56.16935,66.565781,68.13401800000001
2014-01-01,31.62897700000001,15.086271,27.330305,1782.589966,36.656353,74.051529,30.647501,77.56562,24.038727,31.767084000000004,23.34774,63.393394,30.001514,97.504372,58.47571600000001,66.824158,85.57558399999998,71.444305,52.741135,62.649193,66.46508
2014-02-01,34.815437,14.888124,29.651721999999996,1859.449951,37.52950300000001,77.10664399999997,30.955431,78.372833,25.390905,31.69562,22.672159,63.410374,29.932817,101.357323,63.66143,74.37075,88.412018,74.63044000000002,54.405041,64.803352,66.225266
2014-03-01,34.504337,15.491574,30.997590999999996,1872.339966,40.484932,82.812508,31.328194,81.432899,25.610605,32.900589000000004,24.901735,64.878906,32.415768,97.176262,50.290001,73.68972,91.966133,76.259834,56.171497,66.401611,69.062157
2014-04-01,33.061943,13.644342000000002,32.947811,1883.949951,40.403542,85.39224200000002,33.316135,84.21572900000002,24.940838,31.663116,25.349079,68.099731,28.745319,100.656799,46.00571400000001,73.017899,97.078377,79.952606,58.27565,68.008095,71.541527
2014-05-01,37.860493,13.644342000000002,35.703136,1923.569946,41.331425,85.53555300000002,33.414158,84.25725600000001,23.625221,32.837814,25.516491,65.587952,33.691596999999994,100.952621,59.689999,77.315765,94.966965,78.484863,59.547245,67.089584,73.573898
2014-06-01,40.500164,13.851619,34.693813,1960.22998,43.087433000000004,88.814255,34.59848,84.358604,23.876028,34.821686,25.437359,64.53265400000001,32.994797,100.511162,62.942856000000006,78.907913,101.830505,79.135628,59.35571700000001,65.262642,74.415176
2014-07-01,36.6255,13.752317999999999,33.564827,1930.6700440000002,41.726601,84.96865799999998,32.332333,79.18354000000002,23.087666,34.956684,25.602816,63.251801,32.327442,102.588387,60.388573,79.03675799999998,100.808685,77.76795200000002,55.194378,64.208015,73.931236
2014-08-01,36.746696,14.509823,35.464386,2003.369995,42.169273,88.058716,34.33202,78.480148,23.851324,35.015190000000004,25.474937,64.902298,29.520628,105.998444,68.23428299999999,82.71800999999998,100.972504,78.176704,56.644978,69.567131,77.615196
2014-09-01,33.533257,15.375542999999999,32.471718,1972.290039,42.819140999999995,91.098694,35.105553,80.77317,23.997402,34.07193,25.678972,66.169197,28.33313,109.71032,64.454285,81.935745,93.862038,74.439339,57.073776,70.094475,78.118713
2014-10-01,39.081173,15.522445999999999,36.136565999999995,2018.050049,43.826244,92.115746,34.714764,79.853065,24.305794,34.117081,25.387495,65.996147,28.647179,116.75763700000002,56.110001,84.09850300000002,94.35762,76.54469300000002,58.52644,73.049255,81.279045
2014-11-01,45.982341999999996,15.413895000000002,41.921291,2067.560059,44.973713000000004,92.517426,37.160042,82.47708100000001,25.279648,36.668186,26.121086,75.748024,28.647179,124.41777,49.512856,85.138458,85.64164,71.661209,61.240223,76.274521,84.600502
2014-12-01,50.814617,16.182779,44.279037,2058.899902,45.553688,89.954338,35.238491,80.533211,25.498587,37.200497,24.79952,74.31163000000002,26.439020000000006,124.416084,48.80143,86.684593,89.063774,73.701263,60.888226,76.831215,79.91835
2015-01-01,46.50346,13.744326000000001,42.586739,1994.9899899999998,43.143871000000004,86.143509,34.362114,79.450264,25.580448,39.685055,24.304863,73.94368,29.618769,125.504517,63.114285,84.77594,81.402283,69.691322,59.41859399999999,71.09563399999998,79.77963299999998
2015-02-01,45.385414000000004,14.34309,40.075287,2104.5,45.528751,88.182259,36.1399,85.002525,28.093468,42.387253,25.877657,73.030052,32.415768,128.98898300000002,67.844284,97.003952,84.697128,70.584198,62.6497,72.314552,84.203331
2015-03-01,50.11055800000001,13.962057000000001,40.552890999999995,2067.889893,45.50264,87.144989,33.844646000000004,84.475479,28.729429,43.092564,24.447504,71.568214,31.100687,137.709122,59.52714200000001,97.758888,84.166306,68.27215600000001,61.340435,69.604774,81.34494000000002
2015-04-01,45.847645,14.497145999999999,40.264259,2085.51001,46.08815,85.932236,34.133892,83.703888,28.019238,45.12207,25.937561,68.32159399999999,33.406986,130.02830500000002,79.5,101.328491,89.040848,70.17574300000001,59.518097,67.540581,81.46183
2015-05-01,40.309525,15.015875,38.71286,2107.389893,46.807491,86.74652900000002,34.470516,83.166382,28.696386,47.288055,26.23452,65.012718,38.156982,129.964737,89.15142800000002,102.866318,82.578857,68.432793,59.414425,67.12471,82.58374
2015-06-01,37.99769600000001,15.489101999999999,37.129337,2063.110107,47.360439,85.04061899999998,33.014606,83.137062,27.918026,48.954056,26.978874,62.480904,38.049026,123.101463,93.848572,106.380013,78.114204,67.379097,58.186813,66.996277,79.93744699999998
2015-07-01,38.149914,16.320553,40.075825,2103.840088,48.733082,87.440178,34.856716,87.32584399999998,30.024578,52.889011,26.386435,63.40584200000001,39.903881,132.434784,114.309998,111.841606,71.64451600000002,64.14785,60.50859499999999,65.677582,83.12361899999998
2015-08-01,37.084381,15.006145000000002,39.569679,1972.180054,45.499367,82.00406600000002,33.363338,85.113396,27.693218,51.081318,25.7372,57.019432,38.873405,127.649628,115.029999,95.505775,65.57965899999999,60.93275500000001,56.188858,61.009575,80.751114
2015-09-01,37.027863,14.221155,40.67332800000001,1920.030029,43.524792,82.077461,34.042152,86.921875,26.357233,52.036949,25.075296,57.50634399999999,39.069687,132.131714,103.260002,95.805756,64.675926,60.775364,56.77034,62.105988,81.355034
